Port_Name,State,Port_Code,Border,Date,Measure,Value,Latitude,Longitude,Point
Andrade,California,2502,US-Mexico Border,Jan-24,Pedestrians,36052,32.718,-114.728,POINT (-114.72832 32.718143)
Otay Mesa,California,2506,US-Mexico Border,Jan-24,Buses,1481,32.55,-116.939,POINT (-116.938538 32.55033)
Port Huron,Michigan,3802,US-Canada Border,Jan-24,Personal Vehicles,121431,42.999,-82.424,POINT (-82.423611 42.998611)
Sumas,Washington,3009,US-Canada Border,Jan-24,Bus Passengers,4111,49.002,-122.265,POINT (-122.264805 49.002388)
Champlain Rouses Point,New York,0712,US-Canada Border,Jan-24,Bus Passengers,24416,45.009,-73.453,POINT (-73.4526634854 45.0088325953)
Noonan,North Dakota,3420,US-Canada Border,Jan-24,Buses,3,48.999,-103.004,POINT (-103.004361 48.999333)
Calexico,California,2503,US-Mexico Border,Jan-24,Trucks,0,32.673,-115.388,POINT (-115.388018 32.673389)
Morgan,Montana,3319,US-Canada Border,Jan-24,Personal Vehicle Passengers,1704,49,-107.832,POINT (-107.831819 48.999829)
Dalton Cache,Alaska,3106,US-Canada Border,Jan-24,Rail Containers Loaded,0,59.451,-136.362,POINT (-136.361944 59.450556)
Hannah,North Dakota,3408,US-Canada Border,Jan-24,Personal Vehicle Passengers,1165,49,-98.694,POINT (-98.693777 49.000138)
Metaline Falls,Washington,3025,US-Canada Border,Jan-24,Train Passengers,0,49,-117.299,POINT (-117.299444 48.999972)
Del Rio,Texas,2302,US-Mexico Border,Jan-24,Personal Vehicles,149235,29.327,-100.928,POINT (-100.927612 29.326784)
El Paso,Texas,2402,US-Mexico Border,Jan-24,Bus Passengers,8239,31.764,-106.451,POINT (-106.451188 31.764363)
Blaine,Washington,3004,US-Canada Border,Jan-24,Personal Vehicle Passengers,881000,48.994,-122.749,POINT (-122.748884 48.994045)
Fortuna,North Dakota,3417,US-Canada Border,Jan-24,Trains,0,49,-103.809,POINT (-103.80925 48.999555)
Fort Fairfield,Maine,0107,US-Canada Border,Jan-24,Truck Containers Empty,0,46.765,-67.789,POINT (-67.789471 46.765323)
Noyes,Minnesota,3402,US-Canada Border,Jan-24,Rail Containers Loaded,0,49,-97.207,POINT (-97.206601 49.000171)
Calexico,California,2503,US-Mexico Border,Jan-24,Trucks,0,32.673,-115.388,POINT (-115.388018 32.673389)
Laurier,Washington,3016,US-Canada Border,Jan-24,Truck Containers Empty,0,49,-118.224,POINT (-118.223777 49.000083)
San Luis,Arizona,2608,US-Mexico Border,Jan-24,Trains,0,32.485,-114.782,POINT (-114.7822222 32.485)
Roseau,Minnesota,3426,US-Canada Border,Jan-24,Train Passengers,0,49,-95.766,POINT (-95.766469 48.999538)
El Paso,Texas,2402,US-Mexico Border,Jan-24,Buses,428,31.764,-106.451,POINT (-106.451188 31.764363)
Morgan,Montana,3319,US-Canada Border,Jan-24,Bus Passengers,0,49,-107.832,POINT (-107.831819 48.999829)
Noyes,Minnesota,3402,US-Canada Border,Jan-24,Trains,157,49,-97.207,POINT (-97.206601 49.000171)
Opheim,Montana,3317,US-Canada Border,Jan-24,Truck Containers Empty,0,49,-106.378,POINT (-106.377583 48.999527)
Roosville,Montana,3318,US-Canada Border,Jan-24,Rail Containers Empty,0,49,-115.056,POINT (-115.056027 48.999638)
Scobey,Montana,3309,US-Canada Border,Jan-24,Trucks,164,49,-105.408,POINT (-105.407638 48.999527)
Jackman,Maine,0104,US-Canada Border,Jan-24,Pedestrians,443,45.806,-70.397,POINT (-70.396722 45.805661)
Hannah,North Dakota,3408,US-Canada Border,Jan-24,Train Passengers,0,49,-98.694,POINT (-98.693777 49.000138)
Nogales,Arizona,2604,US-Mexico Border,Jan-24,Rail Containers Empty,894,31.333,-110.943,POINT (-110.942516 31.332839)
Nighthawk,Washington,3011,US-Canada Border,Jan-24,Train Passengers,0,49,-119.671,POINT (-119.67103 49.000144)
Sweetgrass,Montana,3310,US-Canada Border,Jan-24,Pedestrians,1375,48.998,-111.96,POINT (-111.959611 48.998388)
Progreso,Texas,2309,US-Mexico Border,Jan-24,Trucks,1572,26.062,-97.95,POINT (-97.949958 26.062133)
Ferry,Washington,3013,US-Canada Border,Jan-24,Truck Containers Loaded,0,49,-118.761,POINT (-118.761166 49.000083)
Fortuna,North Dakota,3417,US-Canada Border,Jan-24,Personal Vehicle Passengers,2767,49,-103.809,POINT (-103.80925 48.999555)
Nighthawk,Washington,3011,US-Canada Border,Jan-24,Buses,1,49,-119.671,POINT (-119.67103 49.000144)
Alcan,Alaska,3104,US-Canada Border,Jan-24,Personal Vehicle Passengers,2867,62.615,-141.001,POINT (-141.001444 62.614961)
Boundary,Washington,3015,US-Canada Border,Jan-24,Personal Vehicle Passengers,9968,49.001,-117.628,POINT (-117.627583 49.00075)
Columbus,New Mexico,2406,US-Mexico Border,Jan-24,Buses,0,31.784,-107.628,POINT (-107.627948 31.783742)
Sherwood,North Dakota,3414,US-Canada Border,Jan-24,Train Passengers,0,48.999,-101.628,POINT (-101.627527 48.999305)
Grand Portage,Minnesota,3613,US-Canada Border,Jan-24,Truck Containers Empty,709,48.001,-89.585,POINT (-89.58515 48.001427)
Roosville,Montana,3318,US-Canada Border,Jan-24,Pedestrians,119,49,-115.056,POINT (-115.056027 48.999638)
Sherwood,North Dakota,3414,US-Canada Border,Jan-24,Buses,2,48.999,-101.628,POINT (-101.627527 48.999305)
Pinecreek,Minnesota,3425,US-Canada Border,Jan-24,Trains,0,49,-95.978,POINT (-95.977694 48.999916)
Buffalo Niagara Falls,New York,0901,US-Canada Border,Jan-24,Rail Containers Loaded,0,43.095,-79.056,POINT (-79.055847 43.09549)
Hansboro,North Dakota,3415,US-Canada Border,Jan-24,Rail Containers Empty,0,49,-99.347,POINT (-99.346527 48.999583)
Nogales,Arizona,2604,US-Mexico Border,Jan-24,Personal Vehicles,267244,31.333,-110.943,POINT (-110.942516 31.332839)
Piegan,Montana,3316,US-Canada Border,Jan-24,Trains,0,48.998,-113.379,POINT (-113.378777 48.998083)
Nogales,Arizona,2604,US-Mexico Border,Jan-24,Personal Vehicles,304457,31.333,-110.943,POINT (-110.942516 31.332839)
Danville,Washington,3012,US-Canada Border,Jan-24,Train Passengers,71,49,-118.504,POINT (-118.503722 49.000083)
Baudette,Minnesota,3424,US-Canada Border,Jan-24,Trains,187,48.719,-94.59,POINT (-94.590467 48.719109)
Point Roberts,Washington,3017,US-Canada Border,Jan-24,Pedestrians,1458,49.002,-123.068,POINT (-123.068055556 49.0020555547)
Del Bonita,Montana,3322,US-Canada Border,Jan-24,Bus Passengers,48,48.999,-112.788,POINT (-112.78825 48.998555)
Turner,Montana,3306,US-Canada Border,Jan-24,Rail Containers Empty,0,49,-108.388,POINT (-108.387916 48.999527)
Richford,Vermont,0203,US-Canada Border,Jan-24,Truck Containers Loaded,0,45.012,-72.589,POINT (-72.588559 45.01174)
Fort Fairfield,Maine,0107,US-Canada Border,Jan-24,Rail Containers Loaded,0,46.765,-67.789,POINT (-67.789471 46.765323)
Baudette,Minnesota,3424,US-Canada Border,Jan-24,Pedestrians,333,48.719,-94.59,POINT (-94.590467 48.719109)
Porthill,Idaho,3308,US-Canada Border,Jan-24,Buses,2,49,-116.499,POINT (-116.49925 48.999861)
Nighthawk,Washington,3011,US-Canada Border,Jan-24,Train Passengers,0,49,-119.671,POINT (-119.67103 49.000144)
Brownsville,Texas,2301,US-Mexico Border,Jan-24,Pedestrians,341688,25.952,-97.401,POINT (-97.40067 25.95155)
El Paso,Texas,2402,US-Mexico Border,Jan-24,Personal Vehicles,1356411,31.764,-106.451,POINT (-106.451188 31.764363)
Calexico East,California,2507,US-Mexico Border,Jan-24,Pedestrians,0,32.673,-115.388,POINT (-115.388018 32.673389)
El Paso,Texas,2402,US-Mexico Border,Jan-24,Truck Containers Empty,21256,31.764,-106.451,POINT (-106.451188 31.764363)
Noonan,North Dakota,3420,US-Canada Border,Jan-24,Buses,4,48.999,-103.004,POINT (-103.004361 48.999333)
Morgan,Montana,3319,US-Canada Border,Jan-24,Train Passengers,0,49,-107.832,POINT (-107.831819 48.999829)
Danville,Washington,3012,US-Canada Border,Jan-24,Truck Containers Empty,0,49,-118.504,POINT (-118.503722 49.000083)
Sasabe,Arizona,2606,US-Mexico Border,Jan-24,Rail Containers Loaded,0,31.483,-111.544,POINT (-111.544363 31.483039)
Northgate,North Dakota,3406,US-Canada Border,Jan-24,Personal Vehicles,2080,48.999,-102.275,POINT (-102.27475 48.998833)
Boundary,Washington,3015,US-Canada Border,Jan-24,Trains,0,49.001,-117.628,POINT (-117.627583 49.00075)
Derby Line,Vermont,0209,US-Canada Border,Jan-24,Pedestrians,1875,45.006,-72.099,POINT (-72.099279 45.005739)
Jackman,Maine,0104,US-Canada Border,Jan-24,Truck Containers Empty,945,45.806,-70.397,POINT (-70.396722 45.805661)
Laredo,Texas,2304,US-Mexico Border,Jan-24,Pedestrians,308385,27.5,-99.507,POINT (-99.507412 27.499561)
Roosville,Montana,3318,US-Canada Border,Jan-24,Rail Containers Empty,0,49,-115.056,POINT (-115.056027 48.999638)
Jackman,Maine,0104,US-Canada Border,Jan-24,Rail Containers Loaded,760,45.806,-70.397,POINT (-70.396722 45.805661)
Laredo,Texas,2304,US-Mexico Border,Jan-24,Rail Containers Loaded,4354,27.5,-99.507,POINT (-99.507412 27.499561)
Nighthawk,Washington,3011,US-Canada Border,Jan-24,Trains,0,49,-119.671,POINT (-119.67103 49.000144)
Point Roberts,Washington,3017,US-Canada Border,Jan-24,Buses,74,49.002,-123.068,POINT (-123.068055556 49.0020555547)
Sarles,North Dakota,3409,US-Canada Border,Jan-24,Truck Containers Empty,0,49,-98.938,POINT (-98.938361 49.000027)
Blaine,Washington,3004,US-Canada Border,Jan-24,Buses,1193,48.994,-122.749,POINT (-122.748884 48.994045)
Danville,Washington,3012,US-Canada Border,Jan-24,Bus Passengers,0,49,-118.504,POINT (-118.503722 49.000083)
Derby Line,Vermont,0209,US-Canada Border,Jan-24,Personal Vehicle Passengers,111457,45.006,-72.099,POINT (-72.099279 45.005739)
Lukeville,Arizona,2602,US-Mexico Border,Jan-24,Bus Passengers,936,31.88,-112.817,POINT (-112.817077 31.880195)
Scobey,Montana,3309,US-Canada Border,Jan-24,Truck Containers Loaded,0,49,-105.408,POINT (-105.407638 48.999527)
Eagle Pass,Texas,2303,US-Mexico Border,Jan-24,Trucks,5455,28.705,-100.512,POINT (-100.511977 28.705483)
Kenneth G Ward,Washington,3023,US-Canada Border,Jan-24,Rail Containers Loaded,0,49.002,-122.485,POINT (-122.485027 49.002277)
Alcan,Alaska,3104,US-Canada Border,Jan-24,Rail Containers Loaded,0,62.615,-141.001,POINT (-141.001444 62.614961)
Limestone,Maine,0118,US-Canada Border,Jan-24,Personal Vehicles,4990,46.925,-67.79,POINT (-67.789597 46.924555)
Roosville,Montana,3318,US-Canada Border,Jan-24,Train Passengers,0,49,-115.056,POINT (-115.056027 48.999638)
Norton,Vermont,0211,US-Canada Border,Jan-24,Trucks,1859,45.011,-71.793,POINT (-71.793219 45.010771)
Progreso,Texas,2309,US-Mexico Border,Jan-24,Trains,0,26.062,-97.95,POINT (-97.949958 26.062133)
Portland,Maine,0101,US-Canada Border,Jan-24,Truck Containers Loaded,0,43.659,-70.243,POINT (-70.243056 43.659444)
St John,North Dakota,3405,US-Canada Border,Jan-24,Buses,1,48.999,-99.659,POINT (-99.659111 48.999277)
Portland,Maine,0101,US-Canada Border,Jan-24,Trucks,20,43.659,-70.243,POINT (-70.243056 43.659444)
Turner,Montana,3306,US-Canada Border,Jan-24,Truck Containers Empty,6,49,-108.388,POINT (-108.387916 48.999527)
Ogdensburg,New York,0701,US-Canada Border,Jan-24,Personal Vehicles,40549,44.733,-75.458,POINT (-75.4577501759 44.7330898624)
Del Rio,Texas,2302,US-Mexico Border,Jan-24,Train Passengers,0,29.327,-100.928,POINT (-100.927612 29.326784)
Point Roberts,Washington,3017,US-Canada Border,Jan-24,Train Passengers,0,49.002,-123.068,POINT (-123.068055556 49.0020555547)
Hidalgo,Texas,2305,US-Mexico Border,Jan-24,Trucks,14589,26.095,-98.271,POINT (-98.271092 26.095032)
Antler,North Dakota,3413,US-Canada Border,Jan-24,Trucks,66,48.999,-101.296,POINT (-101.296055 48.999472)
Douglas,Arizona,2601,US-Mexico Border,Jan-24,Buses,300,31.334,-109.56,POINT (-109.560344 31.334043)
Port Huron,Michigan,3802,US-Canada Border,Jan-24,Personal Vehicle Passengers,486538,42.999,-82.424,POINT (-82.423611 42.998611)
Hannah,North Dakota,3408,US-Canada Border,Jan-24,Truck Containers Loaded,0,49,-98.694,POINT (-98.693777 49.000138)
Whitlash,Montana,3321,US-Canada Border,Jan-24,Train Passengers,0,48.997,-111.258,POINT (-111.257916 48.99725)
Otay Mesa,California,2506,US-Mexico Border,Jan-24,Personal Vehicle Passengers,596515,32.55,-116.939,POINT (-116.938538 32.55033)
Neche,North Dakota,3404,US-Canada Border,Jan-24,Truck Containers Loaded,0,49.001,-97.557,POINT (-97.557333 49.000527)
Columbus,New Mexico,2406,US-Mexico Border,Jan-24,Personal Vehicle Passengers,51023,31.784,-107.628,POINT (-107.627948 31.783742)
Opheim,Montana,3317,US-Canada Border,Jan-24,Rail Containers Loaded,0,49,-106.378,POINT (-106.377583 48.999527)
Norton,Vermont,0211,US-Canada Border,Jan-24,Personal Vehicles,10305,45.011,-71.793,POINT (-71.793219 45.010771)
Antler,North Dakota,3413,US-Canada Border,Jan-24,Rail Containers Loaded,0,48.999,-101.296,POINT (-101.296055 48.999472)
Blaine,Washington,3004,US-Canada Border,Jan-24,Truck Containers Empty,10686,48.994,-122.749,POINT (-122.748884 48.994045)
Jackman,Maine,0104,US-Canada Border,Jan-24,Bus Passengers,1467,45.806,-70.397,POINT (-70.396722 45.805661)
Noonan,North Dakota,3420,US-Canada Border,Jan-24,Trucks,93,48.999,-103.004,POINT (-103.004361 48.999333)
Del Rio,Texas,2302,US-Mexico Border,Jan-24,Personal Vehicles,152820,29.327,-100.928,POINT (-100.927612 29.326784)
Eagle Pass,Texas,2303,US-Mexico Border,Jan-24,Bus Passengers,319,28.705,-100.512,POINT (-100.511977 28.705483)
Nogales,Arizona,2604,US-Mexico Border,Jan-24,Rail Containers Loaded,1453,31.333,-110.943,POINT (-110.942516 31.332839)
Turner,Montana,3306,US-Canada Border,Jan-24,Rail Containers Empty,0,49,-108.388,POINT (-108.387916 48.999527)
Portal,North Dakota,3403,US-Canada Border,Jan-24,Train Passengers,333,48.999,-102.552,POINT (-102.551944 48.998944)
Derby Line,Vermont,0209,US-Canada Border,Jan-24,Trains,0,45.006,-72.099,POINT (-72.099279 45.005739)
Oroville,Washington,3019,US-Canada Border,Jan-24,Buses,53,49,-119.462,POINT (-119.461833 49.000083)
Boundary,Washington,3015,US-Canada Border,Jan-24,Personal Vehicle Passengers,8337,49.001,-117.628,POINT (-117.627583 49.00075)
Sumas,Washington,3009,US-Canada Border,Jan-24,Buses,118,49.002,-122.265,POINT (-122.264805 49.002388)
Blaine,Washington,3004,US-Canada Border,Jan-24,Rail Containers Loaded,4915,48.994,-122.749,POINT (-122.748884 48.994045)
Andrade,California,2502,US-Mexico Border,Jan-24,Bus Passengers,576,32.718,-114.728,POINT (-114.72832 32.718143)
Eagle Pass,Texas,2303,US-Mexico Border,Jan-24,Personal Vehicles,216623,28.705,-100.512,POINT (-100.511977 28.705483)
Del Bonita,Montana,3322,US-Canada Border,Jan-24,Train Passengers,0,48.999,-112.788,POINT (-112.78825 48.998555)
Oroville,Washington,3019,US-Canada Border,Jan-24,Trains,0,49,-119.462,POINT (-119.461833 49.000083)
Piegan,Montana,3316,US-Canada Border,Jan-24,Rail Containers Empty,0,48.998,-113.379,POINT (-113.378777 48.998083)
Turner,Montana,3306,US-Canada Border,Jan-24,Trucks,25,49,-108.388,POINT (-108.387916 48.999527)
Kenneth G Ward,Washington,3023,US-Canada Border,Jan-24,Truck Containers Empty,0,49.002,-122.485,POINT (-122.485027 49.002277)
Fort Fairfield,Maine,0107,US-Canada Border,Jan-24,Rail Containers Empty,0,46.765,-67.789,POINT (-67.789471 46.765323)
Calexico,California,2503,US-Mexico Border,Jan-24,Trains,22,32.673,-115.388,POINT (-115.388018 32.673389)
Laredo,Texas,2304,US-Mexico Border,Jan-24,Truck Containers Loaded,47099,27.5,-99.507,POINT (-99.507412 27.499561)
Alexandria Bay,New York,0708,US-Canada Border,Jan-24,Trains,0,44.347,-75.984,POINT (-75.983592 44.347229)
Blaine,Washington,3004,US-Canada Border,Jan-24,Personal Vehicle Passengers,763930,48.994,-122.749,POINT (-122.748884 48.994045)
Tornillo,Texas,2404,US-Mexico Border,Jan-24,Truck Containers Empty,0,31.435,-106.143,POINT (-106.142669 31.435334)
Naco,Arizona,2603,US-Mexico Border,Jan-24,Buses,0,31.334,-109.948,POINT (-109.948413 31.334084)
Beecher Falls,Vermont,0206,US-Canada Border,Jan-24,Trucks,1695,45.013,-71.505,POINT (-71.505309 45.013411)
Metaline Falls,Washington,3025,US-Canada Border,Jan-24,Rail Containers Empty,0,49,-117.299,POINT (-117.299444 48.999972)
Oroville,Washington,3019,US-Canada Border,Jan-24,Train Passengers,0,49,-119.462,POINT (-119.461833 49.000083)
San Luis,Arizona,2608,US-Mexico Border,Jan-24,Trucks,2162,32.485,-114.782,POINT (-114.7822222 32.485)
Alcan,Alaska,3104,US-Canada Border,Jan-24,Personal Vehicle Passengers,4584,62.615,-141.001,POINT (-141.001444 62.614961)
Neche,North Dakota,3404,US-Canada Border,Jan-24,Personal Vehicles,3194,49.001,-97.557,POINT (-97.557333 49.000527)
Bridgewater,Maine,0127,US-Canada Border,Jan-24,Trucks,779,46.45,-67.785,POINT (-67.78484 46.450335)
Raymond,Montana,3301,US-Canada Border,Jan-24,Truck Containers Empty,94,48.999,-104.574,POINT (-104.574333 48.999194)
Maida,North Dakota,3416,US-Canada Border,Jan-24,Truck Containers Empty,0,49,-98.365,POINT (-98.36525 49.00025)
Portal,North Dakota,3403,US-Canada Border,Jan-24,Personal Vehicles,9013,48.999,-102.552,POINT (-102.551944 48.998944)
Warroad,Minnesota,3423,US-Canada Border,Jan-24,Personal Vehicle Passengers,33961,48.999,-95.377,POINT (-95.376555 48.999)
Portal,North Dakota,3403,US-Canada Border,Jan-24,Buses,23,48.999,-102.552,POINT (-102.551944 48.998944)
Douglas,Arizona,2601,US-Mexico Border,Jan-24,Truck Containers Empty,1195,31.334,-109.56,POINT (-109.560344 31.334043)
Derby Line,Vermont,0209,US-Canada Border,Jan-24,Rail Containers Loaded,0,45.006,-72.099,POINT (-72.099279 45.005739)
Beecher Falls,Vermont,0206,US-Canada Border,Jan-24,Truck Containers Empty,0,45.013,-71.505,POINT (-71.505309 45.013411)
Santa Teresa,New Mexico,2408,US-Mexico Border,Jan-24,Buses,0,31.784,-106.679,POINT (-106.679437 31.783939)
Del Bonita,Montana,3322,US-Canada Border,Jan-24,Buses,0,48.999,-112.788,POINT (-112.78825 48.998555)
Richford,Vermont,0203,US-Canada Border,Jan-24,Bus Passengers,85,45.012,-72.589,POINT (-72.588559 45.01174)
Sweetgrass,Montana,3310,US-Canada Border,Jan-24,Trucks,8890,48.998,-111.96,POINT (-111.959611 48.998388)
Alexandria Bay,New York,0708,US-Canada Border,Jan-24,Truck Containers Loaded,0,44.347,-75.984,POINT (-75.983592 44.347229)
Oroville,Washington,3019,US-Canada Border,Jan-24,Buses,64,49,-119.462,POINT (-119.461833 49.000083)
Eagle Pass,Texas,2303,US-Mexico Border,Jan-24,Trucks,4857,28.705,-100.512,POINT (-100.511977 28.705483)
Van Buren,Maine,0108,US-Canada Border,Jan-24,Train Passengers,85,47.16,-67.931,POINT (-67.930799 47.159645)
Richford,Vermont,0203,US-Canada Border,Jan-24,Bus Passengers,26,45.012,-72.589,POINT (-72.588559 45.01174)
Calexico,California,2503,US-Mexico Border,Jan-24,Bus Passengers,483,32.673,-115.388,POINT (-115.388018 32.673389)
Madawaska,Maine,0109,US-Canada Border,Jan-24,Truck Containers Loaded,598,47.36,-68.329,POINT (-68.328684 47.360052)
Roseau,Minnesota,3426,US-Canada Border,Jan-24,Buses,0,49,-95.766,POINT (-95.766469 48.999538)
Eagle Pass,Texas,2303,US-Mexico Border,Jan-24,Pedestrians,41489,28.705,-100.512,POINT (-100.511977 28.705483)
Whitlash,Montana,3321,US-Canada Border,Jan-24,Personal Vehicle Passengers,264,48.997,-111.258,POINT (-111.257916 48.99725)
Metaline Falls,Washington,3025,US-Canada Border,Jan-24,Truck Containers Loaded,0,49,-117.299,POINT (-117.299444 48.999972)
